date,time,bar,moves,edge,open,close,day
2018-06-21,10:54:00,319,26,0,1,0,1
2018-06-21,11:04:00,320,28.5,0,1,0,1
2018-06-21,11:14:00,321,24.5,0,1,0,1
2018-06-21,11:24:00,322,20.5,0,1,0,1
2018-06-21,11:34:00,323,20,0,1,0,1
2018-06-21,11:44:00,324,21,0,1,0,1
2018-06-21,11:54:00,325,25.5,0,1,0,1
2018-06-21,12:04:00,326,29,0,1,0,1
2018-06-21,12:14:00,327,25.5,0,1,0,1
2018-06-21,12:24:00,328,24,0,1,0,1
2018-06-21,12:34:00,329,25.5,0,1,0,1
2018-06-21,12:44:00,330,24.5,0,1,0,1
2018-06-21,12:54:00,331,26.5,0,1,0,1
2018-06-21,13:04:00,332,28.5,0,1,0,1
2018-06-21,13:14:00,333,25.5,0,1,0,1
2018-06-21,13:24:00,334,24,0,1,0,1
2018-06-21,13:34:00,335,25,0,1,0,1
2018-06-21,13:44:00,336,24.5,0,1,0,1
2018-06-21,13:54:00,337,26,0,1,0,1
2018-06-21,14:04:00,338,28,0,1,0,1
2018-06-21,14:14:00,339,27,0,1,0,1
2018-06-21,14:24:00,340,26,0,1,0,1
2018-06-21,14:34:00,341,26,0,1,0,1
2018-06-21,14:44:00,342,26,0,1,0,1
2018-06-21,14:54:00,343,27.5,0,1,0,1
2018-06-21,15:04:00,344,29,0,1,0,1
2018-06-21,15:14:00,345,27.5,0,1,0,1
2018-06-21,15:24:00,346,26.5,0,1,0,1
2018-06-21,15:34:00,347,27.5,0,1,0,1
2018-06-21,15:44:00,348,27,0,1,0,1
2018-06-21,15:54:00,349,27.5,0,1,0,1
2018-06-21,16:04:00,350,29.5,0,1,0,1
2018-06-21,16:14:00,351,27.5,0,1,0,1
2018-06-21,16:24:00,352,25.5,0,1,0,1
2018-06-21,16:34:00,353,26,0,1,0,1
2018-06-21,16:44:00,354,26,0,1,0,1
2018-06-21,16:54:00,355,25,0,1,0,1
2018-06-21,17:04:00,356,24.5,0,1,0,1
2018-06-21,17:14:00,357,24.5,0,1,0,1
2018-06-21,17:24:00,358,23.5,0,1,0,1
2018-06-21,17:34:00,359,23,0,1,0,1
2018-06-21,17:44:00,360,24,0,1,0,1
2018-06-21,17:54:00,361,25,0,1,0,1
2018-06-21,18:04:00,362,24.5,0,1,0,1
2018-06-21,18:14:00,363,23.5,0,1,0,1
2018-06-21,18:24:00,364,23,0,1,0,1
2018-06-21,18:34:00,365,22.5,0,1,0,1
2018-06-21,18:44:00,366,22,0,1,0,1
2018-06-21,18:54:00,367,22.5,0,1,0,1
2018-06-21,19:04:00,368,23.5,0,1,0,1
2018-06-21,19:14:00,369,23.5,0,1,0,1
2018-06-21,19:24:00,370,22.5,0,1,0,1
2018-06-21,19:34:00,371,22.5,0,1,0,1
2018-06-21,19:44:00,372,23,0,1,0,1
2018-06-21,19:54:00,373,22.5,0,1,0,1
