Pair,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
AC102,JMAT LN Equity,0,-0.1,Chemicals,Chemicals,Basic Materials,-0.5289533,SX4P Index,0.7524279
AC102,KGF LN Equity,0,-0.1,General Retailers,Retail,Consumer Services,1.038874,SXRP Index,0.6251879
AC102,LAND LN Equity,0,-0.1,Real Estate Investment Trusts,Real Estate,Financials,0.2308742,SX86P Index,0.4804201
AC102,LGEN LN Equity,0,-0.3,Life Insurance,Insurance,Financials,0.07510327,SXIP Index,0.0144087
AC102,LLOY LN Equity,0,-0.8,Banks,Banks,Financials,-0.6990785,SX7P Index,-0.6109482
AC102,LSE LN Equity,0,-0.3,Financial Services,Financial Services,Financials,0,SXFP Index,-0.1056954
AC102,MCRO LN Equity,0,-0.1,Software & Computer Services,Technology,Technology,1.597818,SX8P Index,1.215296
AC102,MKS LN Equity,0,-0.1,General Retailers,Retail,Consumer Services,-0.4482869,SXRP Index,0.6251879
AC102,MNDI LN Equity,0,-0.1,Forestry & Paper,Basic Resources,Basic Materials,0.1456311,SXPP Index,-0.2781055
AC102,MRO LN Equity,0,-0.2,Construction & Materials,Construction & Materials,Industrials,0,SXOP Index,0.4328029
AC102,MRW LN Equity,0,-0.1,Food & Drug Retailers,Retail,Consumer Services,0.4315418,SXRP Index,0.6251879
AC102,NG/ LN Equity,0,-0.5,"Gas, Water & Multiutilities",Utilities,Utilities,-1.843743,SX6P Index,-0.4399267
AC102,NMC LN Equity,0,-0.1,Health Care Equipment & Services,Health Care,Health Care,1.867572,SXDP Index,0.646873
AC102,NXT LN Equity,0,-0.2,General Retailers,Retail,Consumer Services,1.287263,SXRP Index,0.6251879
AC102,OCDO LN Equity,0,-0.1,Food & Drug Retailers,Retail,Consumer Services,9.045971,SXRP Index,0.6251879
AC102,PPB ID Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,0.5841742,SXTP Index,0.5615551
AC102,PRU LN Equity,0,-0.8,Life Insurance,Insurance,Financials,-1.256983,SXIP Index,0.0144087
AC102,PSN LN Equity,0,-0.1,Household Goods & Home Construction,Personal & Household Goods,Consumer Goods,0.8484849,SXQP Index,0.5819758
AC102,PSON LN Equity,0,-0.1,Media,Media,Consumer Services,1.770507,SXMP Index,0.9075618
AC102,RB/ LN Equity,0,-0.7,Household Goods & Home Construction,Personal & Household Goods,Consumer Goods,-0.2510198,SXQP Index,0.5819758
AC102,RBS LN Equity,0,-0.2,Banks,Banks,Financials,-2.277267,SX7P Index,-0.6109482
AC102,RDSA LN Equity,0,-2.2,Oil & Gas Producers,Oil & Gas,Oil & Gas,1.125915,SXEP Index,1.379135
AC102,RDSB LN Equity,0,-1.9,Oil & Gas Producers,Oil & Gas,Oil & Gas,0.8889695,SXEP Index,1.379135
AC102,REL LN Equity,0,-0.3,Media,Media,Consumer Services,-0.2416918,SXMP Index,0.9075618
AC102,RIO LN Equity,0,-0.9,Mining,Basic Resources,Basic Materials,-0.3604903,SXPP Index,-0.2781055
AC102,RMG LN Equity,0,-0.1,Industrial Transportation,Industrial Goods & Services,Industrials,0.1849188,SXNP Index,1.163616
AC102,RMV LN Equity,0,-0.1,Media,Media,Consumer Services,0.2766798,SXMP Index,0.9075618
AC102,RR/ LN Equity,0,-0.3,Aerospace & Defense,Industrial Goods & Services,Industrials,0.505459,SXNP Index,1.163616
AC102,RRS LN Equity,0,-0.1,Mining,Basic Resources,Basic Materials,-1.419176,SXPP Index,-0.2781055
AC102,RSA LN Equity,0,-0.1,Nonlife Insurance,Insurance,Financials,-0.3970678,SXIP Index,0.0144087
AC102,RTO LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,1.109489,SXNP Index,1.163616
AC102,SBRY LN Equity,0,-0.1,Food & Drug Retailers,Retail,Consumer Services,0.0911577,SXRP Index,0.6251879
AC102,SDR LN Equity,0,-0.1,Financial Services,Financial Services,Financials,-0.7343941,SXFP Index,-0.1056954
AC102,SGE LN Equity,0,-0.1,Software & Computer Services,Technology,Technology,1.689958,SX8P Index,1.215296
AC102,SGRO LN Equity,0,-0.1,Real Estate Investment Trusts,Real Estate,Financials,0.8316008,SX86P Index,0.4804201
AC102,SHP LN Equity,41.4,-0.7,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.1630182,SXDP Index,0.646873
AC102,SKG ID Equity,0,-0.1,General Industrials,Industrial Goods & Services,Industrials,0.9631728,SXNP Index,1.163616
AC102,SKY LN Equity,0,-0.3,Media,Media,Consumer Services,2.247191,SXMP Index,0.9075618
AC102,SLA LN Equity,0,-0.2,Financial Services,Financial Services,Financials,-1.03125,SXFP Index,-0.1056954
AC102,SMDS LN Equity,0,-0.1,General Industrials,Industrial Goods & Services,Industrials,2.850291,SXNP Index,1.163616
AC102,SMIN LN Equity,0,-0.1,General Industrials,Industrial Goods & Services,Industrials,1.305862,SXNP Index,1.163616
AC102,SMT LN Equity,0,-0.1,Equity Investment Instruments,Financial Services,Financials,0.9310987,SXFP Index,-0.1056954
AC102,SN/ LN Equity,0,-0.2,Health Care Equipment & Services,Health Care,Health Care,0.7150922,SXDP Index,0.646873
AC102,SSE LN Equity,0,-0.3,Electricity,Utilities,Utilities,-1.363473,SX6P Index,-0.4399267
AC102,STAN LN Equity,0,-0.3,Banks,Banks,Financials,-0.8461208,SX7P Index,-0.6109482
AC102,STJ LN Equity,0,-0.1,Life Insurance,Insurance,Financials,-0.2532714,SXIP Index,0.0144087
AC102,SVT LN Equity,0,-0.1,"Gas, Water & Multiutilities",Utilities,Utilities,-3.644533,SX6P Index,-0.4399267
AC102,TSCO LN Equity,0,-0.5,Food & Drug Retailers,Retail,Consumer Services,-2.00077,SXRP Index,0.6251879
AC102,TUI LN Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,0.6828979,SXTP Index,0.5615551
AC102,TW/ LN Equity,0,-0.1,Household Goods & Home Construction,Personal & Household Goods,Consumer Goods,0.5203816,SXQP Index,0.5819758
AC102,ULVR LN Equity,0,-0.9,Personal Goods,Personal & Household Goods,Consumer Goods,-0.225841,SXQP Index,0.5819758
AC102,UU/ LN Equity,0,-0.1,"Gas, Water & Multiutilities",Utilities,Utilities,-4.044885,SX6P Index,-0.4399267
AC102,VOD LN Equity,0,-0.9,Mobile Telecommunications,Telecommunications,Telecommunications,-0.5681818,SXKP Index,-0.4873369
AC102,WPP LN Equity,0,-0.3,Media,Media,Consumer Services,1.445684,SXMP Index,0.9075618
AC102,WTB LN Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,-0.1494024,SXTP Index,0.5615551
AC104,1COV GR Equity,0,-0.7,Chemicals,Chemicals,Basic Materials,1.644126,SX4P Index,0.7524279
AC104,AALB NA Equity,0,-0.1,Industrial Engineering,Industrial Goods & Services,Industrials,0.7950311,SXNP Index,1.163616
AC104,ABBN SW Equity,0,-0.8,Industrial Engineering,Industrial Goods & Services,Industrials,0.4166667,SXNP Index,1.163616
AC104,ADEN SW Equity,0,-0.2,Support Services,Industrial Goods & Services,Industrials,-0.3737683,SXNP Index,1.163616
AC104,ADP FP Equity,0,-0.1,Industrial Transportation,Industrial Goods & Services,Industrials,0.5030181,SXNP Index,1.163616
AC104,ADS GR Equity,0,-1.7,Personal Goods,Personal & Household Goods,Consumer Goods,1.456844,SXQP Index,0.5819758
AC104,AENA SM Equity,0,-0.2,Industrial Transportation,Industrial Goods & Services,Industrials,1.146862,SXNP Index,1.163616
AC104,AHT LN Equity,0,-0.3,Support Services,Industrial Goods & Services,Industrials,1.125054,SXNP Index,1.163616
AC104,AIR FP Equity,0,-1.2,Aerospace & Defense,Industrial Goods & Services,Industrials,3.963783,SXNP Index,1.163616
AC104,ALFA SS Equity,0,-0.1,Industrial Engineering,Industrial Goods & Services,Industrials,0.7696007,SXNP Index,1.163616
AC104,ALO FP Equity,0,-0.1,Industrial Engineering,Industrial Goods & Services,Industrials,0.4336735,SXNP Index,1.163616
AC104,ALV GR Equity,0,-3.7,Nonlife Insurance,Insurance,Financials,0.1654533,SXIP Index,0.0144087
AC104,AM FP Equity,0,-0.1,Aerospace & Defense,Industrial Goods & Services,Industrials,0.7242004,SXNP Index,1.163616
AC104,AMS SM Equity,0,-0.6,Software & Computer Services,Technology,Technology,0.2902758,SX8P Index,1.215296
AC104,ANDR AV Equity,0,-0.1,Industrial Engineering,Industrial Goods & Services,Industrials,2.147651,SXNP Index,1.163616
AC104,ATCOA SS Equity,0,-0.4,Industrial Engineering,Industrial Goods & Services,Industrials,0.4508197,SXNP Index,1.163616
AC104,ATL IM Equity,0,-0.3,Industrial Transportation,Industrial Goods & Services,Industrials,0.68,SXNP Index,1.163616
AC104,BA/ LN Equity,0,-0.5,Aerospace & Defense,Industrial Goods & Services,Industrials,0.496124,SXNP Index,1.163616
AC104,BAB LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,-0.2051282,SXNP Index,1.163616
AC104,BAS GR Equity,0,-3.7,Chemicals,Chemicals,Basic Materials,0.4474543,SX4P Index,0.7524279
AC104,BAYN GR Equity,0,-4,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.4242681,SXDP Index,0.646873
AC104,BBA LN Equity,0,-0.1,Industrial Transportation,Industrial Goods & Services,Industrials,0.3529412,SXNP Index,1.163616
AC104,BEI GR Equity,0,-0.5,Personal Goods,Personal & Household Goods,Consumer Goods,0.5376344,SXQP Index,0.5819758
AC104,BMW GR Equity,0,-1.2,Automobiles & Parts,Automobiles & Parts,Consumer Goods,-0.1122474,SXAP Index,0.498554
AC104,BNZL LN Equity,0,-0.2,Support Services,Industrial Goods & Services,Industrials,-0.04361099,SXNP Index,1.163616
AC104,BOL FP Equity,0,-0.1,Industrial Transportation,Industrial Goods & Services,Industrials,-0.4570848,SXNP Index,1.163616
AC104,BVI FP Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,0.4729149,SXNP Index,1.163616
AC104,CBK GR Equity,0,-0.4,Banks,Banks,Financials,-1.744998,SX7P Index,-0.6109482
AC104,CNHI IM Equity,0,-0.2,Industrial Engineering,Industrial Goods & Services,Industrials,2.326102,SXNP Index,1.163616
AC104,COB LN Equity,0,-0.1,Aerospace & Defense,Industrial Goods & Services,Industrials,0.5827506,SXNP Index,1.163616
AC104,CON GR Equity,0,-1,Automobiles & Parts,Automobiles & Parts,Consumer Goods,0.2502503,SXAP Index,0.498554
AC104,CPI LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,-1.695961,SXNP Index,1.163616
AC104,DAI GR Equity,0,-2.4,Automobiles & Parts,Automobiles & Parts,Consumer Goods,0,SXAP Index,0.498554
AC104,DB1 GR Equity,0,-1,Financial Services,Financial Services,Financials,0.7240204,SXFP Index,-0.1056954
AC104,DBK GR Equity,0,-0.9,Banks,Banks,Financials,-0.593229,SX7P Index,-0.6109482
AC104,DCC LN Equity,0,-0.2,Support Services,Industrial Goods & Services,Industrials,0.2177068,SXNP Index,1.163616
AC104,DPW GR Equity,0,-1.9,Industrial Transportation,Industrial Goods & Services,Industrials,2.045944,SXNP Index,1.163616
AC104,DSV DC Equity,0,-0.3,Industrial Transportation,Industrial Goods & Services,Industrials,0.8654603,SXNP Index,1.163616
AC104,DTE GR Equity,0,-2.1,Mobile Telecommunications,Telecommunications,Telecommunications,0.1444043,SXKP Index,-0.4873369
AC104,ECM LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,0.8930988,SXNP Index,1.163616
AC104,EDEN FP Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,2.166847,SXNP Index,1.163616
AC104,ELSSF US Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,0,SXNP Index,1.163616
AC104,EOAN GR Equity,0,-1,"Gas, Water & Multiutilities",Utilities,Utilities,-0.5942623,SX6P Index,-0.4399267
AC104,EPIA SS Equity,0,-0.1,Industrial Engineering,Industrial Goods & Services,Industrials,1.631117,SXNP Index,1.163616
AC104,EXPN LN Equity,0,-0.4,Support Services,Industrial Goods & Services,Industrials,0.7865758,SXNP Index,1.163616
AC104,FERG LN Equity,0,-0.4,Support Services,Industrial Goods & Services,Industrials,1.016227,SXNP Index,1.163616
AC104,FHZN SW Equity,0,-0.1,Industrial Transportation,Industrial Goods & Services,Industrials,0.8712488,SXNP Index,1.163616
AC104,FI/N SW Equity,0,-0.1,Industrial Engineering,Industrial Goods & Services,Industrials,1.132686,SXNP Index,1.163616
AC104,FME GR Equity,0,-0.9,Health Care Equipment & Services,Health Care,Health Care,-0.5970862,SXDP Index,0.646873
AC104,FRA GR Equity,0,-0.1,Industrial Transportation,Industrial Goods & Services,Industrials,-0.2886003,SXNP Index,1.163616
AC104,FRE GR Equity,0,-1.4,Health Care Equipment & Services,Health Care,Health Care,-0.754717,SXDP Index,0.646873
AC104,G1A GR Equity,0,-0.1,Industrial Engineering,Industrial Goods & Services,Industrials,1.887477,SXNP Index,1.163616
AC104,GET FP Equity,0,-0.1,Industrial Transportation,Industrial Goods & Services,Industrials,0.8438818,SXNP Index,1.163616
AC104,GFS LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,0.1812251,SXNP Index,1.163616
AC104,GLJ GR Equity,0,-0.1,Financial Services,Financial Services,Financials,0.8858268,SXFP Index,-0.1056954
AC104,HAS LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,1.805629,SXNP Index,1.163616
AC104,HEI GR Equity,0,-0.5,Construction & Materials,Construction & Materials,Industrials,-0.7973605,SXOP Index,0.4328029
AC104,HEN3 GR Equity,0,-0.9,Household Goods & Home Construction,Personal & Household Goods,Consumer Goods,0.3227294,SXQP Index,0.5819758
AC104,HLMA LN Equity,0,-0.1,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,1.568335,SXNP Index,1.163616
AC104,HO FP Equity,0,-0.3,Aerospace & Defense,Industrial Goods & Services,Industrials,1.176471,SXNP Index,1.163616
AC104,HSV LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,0.9677419,SXNP Index,1.163616
AC104,HUH1V FH Equity,0,-0.1,General Industrials,Industrial Goods & Services,Industrials,1.680672,SXNP Index,1.163616
