date,V1
WCH GY Equity,0
WDH DC Equity,0
WDI GY Equity,0
WEIR LN Equity,0
WG/ LN Equity,0
WIE AV Equity,0
WKL NA Equity,0
WMH LN Equity,0
WPP LN Equity,0
WRT1V FH Equity,0
WTB LN Equity,0
YAR NO Equity,0
ZAL GY Equity,0
ZURN SE Equity,0
