Manager,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
DH,LISN SW Equity,0,-0.2,Food Producers,Food & Beverage,Consumer Goods,0.3947369,SX3P Index,1.030116
DH,LONN SW Equity,0,-0.6,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.649405,SXDP Index,0.9666694
DH,LOOMB SS Equity,0,-0.2,Support Services,Industrial Goods & Services,Industrials,-0.456026,SXNP Index,0.650126
DH,LR FP Equity,0,-1.8,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,0.9023526,SXNP Index,0.650126
DH,LUN DC Equity,0,-0.1,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.588763,SXDP Index,0.9666694
DH,MAERSKB DC Equity,0,-0.8,Industrial Transportation,Industrial Goods & Services,Industrials,0.7088608,SXNP Index,0.650126
DH,MAN GR Equity,0,-0.3,Industrial Engineering,Industrial Goods & Services,Industrials,-0.4166667,SXNP Index,0.650126
DH,MAP SM Equity,0,-0.7,Nonlife Insurance,Insurance,Financials,2.218762,SXIP Index,1.062417
DH,MB IM Equity,0,-0.3,Banks,Banks,Financials,1.211815,SX7P Index,0.6701741
DH,MC FP Equity,0,-0.8,Personal Goods,Personal & Household Goods,Consumer Goods,1.367916,SXQP Index,1.072337
DH,MDC LN Equity,0,-0.1,Health Care Equipment & Services,Health Care,Health Care,2.092212,SXDP Index,0.9666694
DH,MEL SM Equity,0,-0.3,Travel & Leisure,Travel & Leisure,Consumer Services,0.1687764,SXTP Index,0.6633038
DH,METSO FH Equity,0,-0.4,Industrial Engineering,Industrial Goods & Services,Industrials,0.5681818,SXNP Index,0.650126
DH,MGGT LN Equity,0,-0.5,Aerospace & Defense,Industrial Goods & Services,Industrials,0.610454,SXNP Index,0.650126
DH,MHG NO Equity,0,-0.2,Food Producers,Food & Beverage,Consumer Goods,0.1217285,SX3P Index,1.030116
DH,ML FP Equity,0,-4.6,Automobiles & Parts,Automobiles & Parts,Consumer Goods,-0.04830918,SXAP Index,0.5500247
DH,MOR GR Equity,0,-0.1,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.333333,SXDP Index,0.9666694
DH,MRK GR Equity,0,-0.4,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.2365744,SXDP Index,0.9666694
DH,MRL SM Equity,99.6,-0.8,Real Estate Investment Trusts,Real Estate,Financials,-0.8471158,SX86P Index,0.3669621
DH,MT NA Equity,-7.9,-0.7,Industrial Metals & Mining,Basic Resources,Basic Materials,-0.6290584,SXPP Index,-0.653875
DH,MTX GR Equity,0,-0.9,Aerospace & Defense,Industrial Goods & Services,Industrials,-0.5603985,SXNP Index,0.650126
DH,MUV2 GR Equity,0,-0.3,Nonlife Insurance,Insurance,Financials,1.309557,SXIP Index,1.062417
DH,NESN SW Equity,0,-4,Food Producers,Food & Beverage,Consumer Goods,1.988636,SX3P Index,1.030116
DH,NESTE FH Equity,44.9,0,Oil & Gas Producers,Oil & Gas,Oil & Gas,-0.9085402,SXEP Index,1.100116
DH,NMC LN Equity,0,-0.1,Health Care Equipment & Services,Health Care,Health Care,0.5797101,SXDP Index,0.9666694
DH,NOKIA FH Equity,0,-0.3,Technology Hardware & Equipment,Technology,Technology,0.4539827,SX8P Index,0.2669742
DH,NOVN SW Equity,0,-5.3,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.409214,SXDP Index,0.9666694
DH,NOVOB DC Equity,0,-2.4,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.137314,SXDP Index,0.9666694
DH,NRE1V FH Equity,0,-1.1,Automobiles & Parts,Automobiles & Parts,Consumer Goods,1.505117,SXAP Index,0.5500247
DH,NTGY SM Equity,0,-1.3,"Gas, Water & Multiutilities",Utilities,Utilities,0.7449605,SX6P Index,1.683118
DH,NZYMB DC Equity,0,-0.3,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.4075235,SXDP Index,0.9666694
DH,OERL SW Equity,0,-0.3,Industrial Engineering,Industrial Goods & Services,Industrials,-0.947226,SXNP Index,0.650126
DH,OR FP Equity,0,-0.5,Personal Goods,Personal & Household Goods,Consumer Goods,1.243424,SXQP Index,1.072337
DH,ORA FP Equity,0,-0.3,Fixed Line Telecommunications,Telecommunications,Telecommunications,1.158301,SXKP Index,1.884442
DH,ORK NO Equity,0,-0.2,Food Producers,Food & Beverage,Consumer Goods,0.4207574,SX3P Index,1.030116
DH,ORNBV FH Equity,0,-0.1,Pharmaceuticals & Biotechnology,Health Care,Health Care,-0.2201673,SXDP Index,0.9666694
DH,ORP FP Equity,0,-0.2,Health Care Equipment & Services,Health Care,Health Care,0.04387889,SXDP Index,0.9666694
DH,PAH3 GR Equity,0,-2,Automobiles & Parts,Automobiles & Parts,Consumer Goods,0.4758419,SXAP Index,0.5500247
DH,PHIA NA Equity,0,-1.5,Health Care Equipment & Services,Health Care,Health Care,1.984565,SXDP Index,0.9666694
DH,PIRC IM Equity,0,-0.6,Automobiles & Parts,Automobiles & Parts,Consumer Goods,1.258389,SXAP Index,0.5500247
DH,POM FP Equity,0,-0.6,Automobiles & Parts,Automobiles & Parts,Consumer Goods,0.2787068,SXAP Index,0.5500247
DH,PRY IM Equity,0,-0.5,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,3.849951,SXNP Index,0.650126
DH,PSN LN Equity,-8.3,0,Household Goods & Home Construction,Personal & Household Goods,Consumer Goods,0.3618818,SXQP Index,1.072337
DH,QIA GR Equity,0,-0.2,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.9746588,SXDP Index,0.9666694
DH,RACE IM Equity,0,-3.6,Automobiles & Parts,Automobiles & Parts,Consumer Goods,0.3478261,SXAP Index,0.5500247
DH,RAND NA Equity,-30.2,-0.6,Support Services,Industrial Goods & Services,Industrials,0.2797762,SXNP Index,0.650126
DH,RBI AV Equity,0,-0.2,Banks,Banks,Financials,-2.581888,SX7P Index,0.6701741
DH,RBREW DC Equity,0,-0.1,Beverages,Food & Beverage,Consumer Goods,-0.09920635,SX3P Index,1.030116
DH,RCO FP Equity,0,-0.6,Beverages,Food & Beverage,Consumer Goods,0.0893655,SX3P Index,1.030116
DH,RDSA NA Equity,-40.7,0,Oil & Gas Producers,Oil & Gas,Oil & Gas,0.5102041,SXEP Index,1.100116
DH,REC IM Equity,0,-0.1,Pharmaceuticals & Biotechnology,Health Care,Health Care,-3.99061,SXDP Index,0.9666694
DH,REE SM Equity,0,-1.3,Electricity,Utilities,Utilities,1.482326,SX6P Index,1.683118
DH,REP SM Equity,0,-3.7,Oil & Gas Producers,Oil & Gas,Oil & Gas,1.079137,SXEP Index,1.100116
